ATDNNR,Country,Subdivision,Site,PlotCode,Altitude,Latitude,Longitude,PlotSize,PlotType,DBHmin,Owner/contact
4,Brazil,Mato Grosso,"Rio von den Steinen, Refugio do Xingu 1",VONST01,,-12.13,-54.08,1,single,10,Carlos Peres
5,Brazil,Mato Grosso,"Rio von den Steinen, Refugio do Xingu 2",VONST02,,-12.14,-54.11,1,single,10,Carlos Peres
9,Brazil,Roraima,Ilha de Maraca PFRa,IM_PPF,,3.34,-61.33,0.75,single,10,Marcelo Trindade Nascimento
10,Brazil,Roraima,Ilha de Maraca PFRb,IM_PRF,,3.34,-61.33,0.75,single,10,Marcelo Trindade Nascimento
11,Brazil,Roraima,Ilha de Maraca PWPa,IM_FWP,,3.35,-61.33,0.75,single,10,Marcelo Trindade Nascimento
17,Colombia,Meta,Tinigua Park plot 1,TINP_01,,2.62,-74.04,1,single,10,Pablo Stevenson
18,Colombia,Meta,Tinigua Park plot 2,TINP_02,,2.62,-74.04,1,single,10,Pablo Stevenson
19,Colombia,Meta,Tinigua Park plot 3,TINP_03,,2.62,-74.04,1,single,10,Pablo Stevenson
20,Colombia,Meta,Tinigua Park plot 4,TINP_04,,2.62,-74.04,1,single,10,Pablo Stevenson
21,Colombia,Meta,Tinigua Park plot 6,TINP_06,,2.62,-74.04,1,single,10,Pablo Stevenson
22,French Guiana,Saül,"Saül, La Douane",SLD,,3.62,-53.18,1,single,10,"Daniel Sabatier, Jean-François Molino"
23,French Guiana,Régina,"Montagne Tortue, plot 1",TORT1,,4.22,-52.41,1,single,10,"Daniel Sabatier, Jean-François Molino"
24,French Guiana,Régina,"Montagne Tortue, plot 2",TORT2,,4.22,-52.41,1,single,10,"Daniel Sabatier, Jean-François Molino"
25,Peru,Cusco,Pagoreni,CAM_04,,-11.79,-72.7,1,single,10,"Alfonso Alonso, Francisco Dallmeier, Percy Núñez Vargas, William Nauray"
26,Peru,Cusco,Peruanita,CAM_05,350,-11.68,-72.99,1,single,10,"Alfonso Alonso, Francisco Dallmeier, Percy Núñez Vargas, William Nauray"
